t=2025-11-26T22:17:12+0300 lvl=info msg="no configuration paths supplied"
t=2025-11-26T22:17:12+0300 lvl=info msg="using configuration at default config path" path="/Users/eli/Library/Application Support/ngrok/ngrok.yml"
t=2025-11-26T22:17:12+0300 lvl=info msg="open config file" path="/Users/eli/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-11-26T22:17:12+0300 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-11-26T22:17:13+0300 lvl=info msg="client session established" obj=tunnels.session
t=2025-11-26T22:17:13+0300 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-11-26T22:17:14+0300 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://225621cd1262.ngrok-free.app
t=2025-11-26T22:17:17+0300 lvl=warn msg="failed to check for update" obj=updater err="Post \"https://update.equinox.io/check\": context deadline exceeded"
t=2025-11-26T22:17:44+0300 lvl=info msg="join connections" obj=join id=261efee57891 l=127.0.0.1:3000 r=62.84.96.86:60164
t=2025-11-26T22:18:34+0300 lvl=info msg="join connections" obj=join id=0a9bda61420d l=127.0.0.1:3000 r=62.84.96.86:58938
t=2025-11-26T22:18:35+0300 lvl=info msg="join connections" obj=join id=7dc46bce4624 l=127.0.0.1:3000 r=62.84.96.86:58938
t=2025-11-26T22:18:35+0300 lvl=info msg="join connections" obj=join id=c8876163b970 l=127.0.0.1:3000 r=62.84.96.86:58938
t=2025-11-26T22:18:35+0300 lvl=info msg="join connections" obj=join id=41885efe414b l=127.0.0.1:3000 r=62.84.96.86:58938
t=2025-11-26T22:18:36+0300 lvl=info msg="join connections" obj=join id=f40e56554bcd l=127.0.0.1:3000 r=62.84.96.86:58938
t=2025-11-26T22:18:36+0300 lvl=info msg="join connections" obj=join id=aa0cd2c80134 l=127.0.0.1:3000 r=62.84.96.86:58938
t=2025-11-26T22:18:36+0300 lvl=info msg="join connections" obj=join id=aa1e6a90007b l=127.0.0.1:3000 r=62.84.96.86:35258
t=2025-11-26T22:19:04+0300 lvl=info msg="join connections" obj=join id=45580d174178 l=127.0.0.1:3000 r=62.84.96.86:54916
t=2025-11-26T22:19:04+0300 lvl=info msg="join connections" obj=join id=fc30ebd5926c l=127.0.0.1:3000 r=62.84.96.86:54916
t=2025-11-26T22:19:04+0300 lvl=info msg="join connections" obj=join id=d710da26c653 l=127.0.0.1:3000 r=62.84.96.86:54916
t=2025-11-26T22:19:04+0300 lvl=info msg="join connections" obj=join id=2dfadb2897d3 l=127.0.0.1:3000 r=62.84.96.86:54916
t=2025-11-26T22:19:05+0300 lvl=info msg="join connections" obj=join id=7743f22f4f98 l=127.0.0.1:3000 r=62.84.96.86:54916
t=2025-11-26T22:19:05+0300 lvl=info msg="join connections" obj=join id=a467f7f2993c l=127.0.0.1:3000 r=62.84.96.86:54916
t=2025-11-26T22:19:06+0300 lvl=info msg="join connections" obj=join id=e13ffe0d55b9 l=127.0.0.1:3000 r=62.84.96.86:39626
t=2025-11-26T22:22:29+0300 lvl=info msg="join connections" obj=join id=e0f3c1201b65 l=127.0.0.1:3000 r=62.84.96.86:37848
t=2025-11-26T22:22:29+0300 lvl=info msg="join connections" obj=join id=1686a6aa53d8 l=127.0.0.1:3000 r=62.84.96.86:37848
t=2025-11-26T22:22:29+0300 lvl=info msg="join connections" obj=join id=a2afd8d7d4f3 l=127.0.0.1:3000 r=62.84.96.86:37848
